2635.json	false	Says the Annies List political group supports third-trimester abortions on demand.	abortion	dwayne-bohac	State representative	Texas	republican	0	1	0	0	0	a mailer
7425.json	mostly-true	The only time in our history when the debt has been higher than this was the end of World War II.	debt	david-cote	President and CEO of Honeywell International		none	0	0	0	1	0	a speech during a “Fix the Debt” press event
10039.json	mostly-true	The cost of health care is now the single-biggest factor driving down the federal budget deficit.	deficit,federal-budget,health-care	barack-obama	President	Illinois	democrat	70	71	160	163	9	a speech at Northwestern University
2166.json	true	During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.	economy,abc-news-week	george-will	Columnist	Maryland	columnist	7	6	3	5	1	a roundtable discussion on ABC's "This Week"
1978.json	false	On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.	kagan-nomination,supreme-court	elena-kagan	U.S. solicitor general	New York	democrat	0	0	1	0	0	a law review article
3005.json	barely-true	Says one out of three U.S. homeless men is a veteran.	poverty,veterans	texas-veterans-commission			none	1	0	0	0	0	a newspaper article.
9165.json	false	Says Charlie Crist supports cuts to the Medicare Advantage program.	health-care,medicare	republican-party-florida			republican	10	6	6	6	4	a Facebook post
2109.json	half-true	I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.	energy	maurice-ferre	Former mayor of Miami	Florida	democrat	1	0	1	0	0	an editorial board meeting
10053.json	true	Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.	health-care,legal-issues,women	jeanne-shaheen	Senator	New Hampshire	democrat	3	0	4	2	0	a news release
9613.json	half-true	At some point in their lives, 99% of women use birth control.	sexuality	susan-happ	Jefferson County District Attorney	Wisconsin	democrat	0	0	1	0	0	a press release
3146.json	false	In the past 20 years, Egypt has made great strides in political and democratic reform.	foreign-policy,abc-news-week	sameh-shoukry			none	0	1	0	0	0	an interview on ABC's "This Week with Christiane Amanpour."
8755.json	false	The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.	terrorism,transportation	karl-rove		Texas	republican	2	5	2	8	0	comments on "Fox News Sunday"
9989.json	true	Says U.S. Rep. Steve Southerland voted to keep the shutdown going.	federal-budget	gwen-graham		Florida	democrat	0	0	1	0	0	a campaign commercial
2044.json	half-true	In Rick Perrys Texas, we import nurses ... from other countries.	health-care	bill-white	Former mayor of Houston	Texas	democrat	2	3	5	7	3	a speech at the Texas Democratic Party convention
11657.json	mostly-true	There is a federal criminal law that says its a crime to transport dentures across state lines.	public-health	bob-goodlatte	U.S. Congressman	Virginia	republican	0	1	4	3	0	a radio interview.
11131.json	mostly-true	We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.	crime,criminal-justice	cory-booker	U.S. senator	New Jersey	democrat	0	4	2	8	0	a post on Instagram
767.json	barely-true	Sen. McCain's tax plan provides "virtually nothing to the middle class."	taxes	joe-biden	U.S. senator	Delaware	democrat	11	10	21	16	4	vice presidential debate in St. Louis
10263.json	false	Austin is burdened by the fastest-growing tax increases of any major city in the nation.	city-budget,city-government,taxes	jim-skaggs	Treasurer, Citizens Against Rail Taxes	Texas	none	0	1	0	0	0	as quoted in a news story
1969.json	false	Phoenix, Arizona, is the No. 2 kidnapping capital of the world.	immigration	john-mccain	U.S. senator	Arizona	republican	31	39	31	37	8	comments on 'Meet the Press'
10386.json	true	I belong to the AFL-CIO.	candidates-biography,labor	rick-perry	Governor	Texas	republican	30	30	42	23	18	Texas Public Policy Foundation policy orientation
2020.json	mostly-true	The insurance commissioner cant do squat about health care.	health-care	ralph-hudgens		Georgia	republican	0	0	0	1	0	a radio interview broadcast over the Internet
4264.json	half-true	Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.	polls	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a New Hampshire town hall.
6359.json	barely-true	President Ronald Reagan sent troops into conflict only in one circumstance, which was in Grenada We were in a peacekeeping setting in Lebanon.	foreign-policy,history,military	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	an interview on 'Face the Nation.'
8931.json	barely-true	Says David Jolly supports privatizing Social Security.	social-security	florida-democratic-party		Florida	democrat	5	4	4	5	3	a robocall to 13th Congressional District voters
9213.json	true	Did you know US population growth is at its lowest since the Great Depression?	immigration,population	robert-sarvis	lawyer, businessman	Virginia	libertarian	0	0	0	1	0	a tweet.
7599.json	mostly-true	The average student in Florida, what they actually pay out of pocket at our major universities for tuition is as much or less than what they spend on cellphones.	education	will-weatherford	State Representative	Florida	republican	2	3	4	3	0	a Board of Governors meeting
7258.json	true	Since 1968, more Americans have died from gunfire than died in all the wars of this countrys history.	guns	mark-shields	Columnist and commentator	Washington, D.C.	none	1	0	0	0	0	the PBS NewsHour
7128.json	mostly-true	A foreclosure tax that would take effect in 2013 could mean a high tax bill for those facing foreclosure and millions of families who modified their mortgage or had a short sale through their lender.	housing	national-association-realtors			none	0	0	0	1	0	a web post
5667.json	false	The Florida Department of Agricultures website FreshFromFlorida.com can be used to get a permit to carry a loaded hidden gun without ever leaving your house.	guns	brady-campaign-prevent-gun-violence			none	1	1	0	0	0	a congressional briefing
4170.json	pants-fire	The Atlanta streetcar is expected to create 930 jobs during construction, totaling more than 5,600 jobs over the next 20 years.	transportation	federal-transit-administration			none	0	0	0	0	1	a press release
10072.json	mostly-true	Raising the minimum wage to $10.10 an hour, would help lift over a million Americans out of poverty.	income,message-machine-2014,poverty	alison-lundergan-grimes	Secretary of State	Kentucky	democrat	2	2	3	1	0	a debate
10624.json	mostly-true	Says Secretary of State John Kerry, when he was a senator, flew to Managua and met with a communist dictator there, Daniel Ortega, and accused the Reagan administration of engaging in terrorism.	foreign-policy,history,terrorism	mitch-mcconnell	Senate minority leader	Kentucky	republican	7	6	5	7	0	an interview on CNN's "State of the Union"
13142.json	false	NATO is opening up a major terror division. ... Im sure Im not going to get credit for it, but that was largely because of what I was saying and my criticism of NATO.	foreign-policy,military,terrorism	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a presidential debate at Hofstra University
338.json	true	"Sen. Obama has always had a 100 percent prochoice rating."	abortion	barack-obama	President	Illinois	democrat	70	71	160	163	9	an e-mail message sent to voters before Super Tuesday.
7848.json	half-true	Since Gina Raimondo took office, investment fees on the states pension portfolio have gone up from about $12 million annually to about $50 million.	candidates-biography,economy,pensions,retirement,state-finances,wealth,workers	frank-caprio	R.I. General Treasurer	Rhode Island	democrat	0	0	4	0	0	an appearance on "10 News Conference"
2820.json	true	The (federal) debt is growing by more than $4 billion a day.	deficit,economy,federal-budget	rick-perry	Governor	Texas	republican	30	30	42	23	18	in "Fed Up! Our Fight to Save America from Washington"
4456.json	half-true	Under President Barack Obamas jobs bill, states would no longer have to lay off teachers, firefighters and police officers.	jobs	david-scott	Congressman 	Georgia	democrat	0	0	2	1	0	a WABE-FM (90.1) radio interview
7796.json	false	Of our 98,000 teachers who are K-12, over 53,000 of those teachers today are over 50 years old.	education,retirement	terry-mcauliffe	Governor	Virginia	democrat	12	6	2	2	3	a speech.
7467.json	mostly-true	Two-thirds of Wisconsinites receiving unemployment checks are not required to search for work due to current work search exemptions.	government-regulation,jobs,poverty,welfare	scott-walker	Milwaukee County Executive	Wisconsin	republican	26	41	32	40	11	a speech
8654.json	half-true	Under President Obamas health-care reforms, the premium for an average plan for a family didnt go down by $2,500 per year, its gone up about $2,500 per year.	corporations,economy,health-care,public-health,workers	ron-johnson		Wisconsin	republican	14	6	10	10	1	an interview
9492.json	half-true	The IRS also investigated liberal groups, groups that had progressive in their name. ... The IRS was basically looking at everybody.	elections,taxes	donna-brazile	Political commentator	Washington, D.C.	democrat	0	1	4	7	0	comments on CNN's "State of the Union"
6895.json	barely-true	Says Obama promised unemployment would never go above 8 percent.	jobs	paul-ryan	U.S. Representative	Wisconsin	republican	19	6	16	14	2	a vice presidential debate
10423.json	true	The economy is creating jobs at the fastest pace since 1999.	economy,jobs	barack-obama	President	Illinois	democrat	70	71	160	163	9	the State of the Union address
6767.json	mostly-true	President Obama decided not to meet with Prime Minister Benjamin Netanyahu in New York.	foreign-policy,israel,message-machine-2012	adam-hasner		Florida	republican	2	1	4	4	0	a press release from the Mitt Romney campaign
11043.json	mostly-true	In a majority of states, you can now marry freely, but can still be fired for who you love.	civil-rights,gays-and-lesbians,states	mark-pocan	State Assembly member, 78th District	Wisconsin	democrat	1	2	2	3	0	a statement
4357.json	pants-fire	Say Oregon Reps. Peter DeFazio and Earl Blumenauer are socialists who are openly serving in the U.S. Congress.	candidates-biography	blog-posting			none	7	19	3	5	44	web pages
162.json	pants-fire	Rudy Giuliani is "probably the most underqualified man since George Bush to seek the presidency."	job-accomplishments	joe-biden	U.S. senator	Delaware	democrat	11	10	21	16	4	Philadelphia
10768.json	false	About half of the presidents have been governors; half of them, senators.	congress,corrections-and-updates,elections,history,states	ted-cruz	Senator	Texas	republican	36	33	15	19	8	remarks in New Hampshire
12593.json	mostly-true	After Britains vote to leave the European Union, within 24 hours, Americans lost $100 billion from our 401(k)s.	economy,retirement	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	remarks in Cincinnati, Ohio
8164.json	mostly-true	Medicaid spending declined by 1.9 percent in 2012, the second such decline in 47 years.	medicaid	kathleen-sebelius	U.S. Health and Human Services Secretary	Kansas	democrat	1	0	1	3	1	a speech
6520.json	true	Says 88 Texas constables have died in the line of duty.	crime,criminal-justice,history,public-safety,public-service	bruce-elfant	Constable, Travis County, Precinct 5	Texas	democrat	0	0	0	1	0	a press statement.
9500.json	mostly-true	Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.	education	republican-party-florida			republican	10	6	6	6	4	a TV ad
4629.json	mostly-true	The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions.	jobs,labor,unions	dave-yost	Ohio auditor	ohio	republican	1	0	0	1	0	a newspaper column
1593.json	true	"As Florida's CFO, I shut down Krakow's scam and refunded more than $1.2 million to Josephine and other victims of this con man."	job-accomplishments	alex-sink		Florida	democrat	1	2	2	4	0	a fundraising e-mail to supporters
10560.json	mostly-true	You had more women getting computer sciences degrees in the 80s by a factor of 2-plus than you do now.	education,technology,women	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a conference in Silicon Valley
7555.json	false	The Air Force wants taxpayers to fund a fantasy football league.	families,federal-budget,military	blog-posting			none	7	19	3	5	44	blog posts
6777.json	pants-fire	Barack Hussein Obama will ... force courts to accept Islamic Sharia law in domestic disputes.	islam,message-machine-2012	government-not-god-pac			none	1	2	0	0	3	a newspaper ad
11385.json	half-true	About 3 percent of murders and crimes are committed with guns from people who actually (legally) purchase those guns.	crime,guns	joe-scarborough	Host of a morning show on MSNBC		none	1	4	3	3	0	a broadcast of MSNBC's "Morning Joe"
3836.json	mostly-true	Some neighborhood schools are closing.	education,state-budget	texas-house-democratic-caucus		Texas	democrat	0	0	0	1	0	a press release
325.json	mostly-true	"He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy."	gays-and-lesbians	john-mccain	U.S. senator	Arizona	republican	31	39	31	37	8	an automated call to voters
2555.json	mostly-true	The years that I was speaker, the Florida House consistently offered leaner budgets than the governor offered.	state-budget,taxes	marco-rubio	U.S. Senator	Florida	republican	33	24	32	35	5	an ABC News U.S. Senate debate.
7803.json	barely-true	We are already almost halfway to our 2010 goal of creating 700,000 new jobs in seven years.	economy,jobs	rick-scott	Governor	Florida	republican	28	23	38	34	7	2013-14 veto message
8985.json	true	Says the U.S. Supreme Court found that Social Security is not guaranteed.	social-security	david-jolly		Florida	republican	4	0	1	1	0	a Congressional campaign debate
12021.json	false	SaysMichael Bennet wants to close Guantanamo Bay prisonand bring terrorists right here to Colorado.	congress,terrorism	jon-keyser		Colorado	republican	0	1	0	0	1	a candidate forum 
2932.json	true	Oregonians have an amazing no-cost way to fight abortion with free political donations	abortion,campaign-finance	oregon-right-life-pac	politican action committee	Oregon	none	0	0	0	0	0	a newspaper ad
11486.json	pants-fire	The president said hes going to bring in 250,000 (Syrian and Iraqi) refugees into this country.	foreign-policy,immigration,terrorism	sean-hannity	Radio/TV host		none	3	5	3	2	1	a segment of Fox News' "Hannity"
7324.json	barely-true	Research shows that a vast majority of arriving immigrants today come here because they believe that government is the source of prosperity, and thats what they support.	immigration,pundits	rush-limbaugh	Radio host		none	9	11	5	2	10	a radio interview
4884.json	mostly-true	Newt Gingrichs immigration plan offers a new doorway to amnesty.	immigration	mitt-romney	Former governor	Massachusetts	republican	34	32	58	33	19	a press conference
2257.json	false	Mr. Caprio is a career politician who has never worked in the private sector.	candidates-biography	john-robitaille		Rhode Island	republican	0	1	2	0	0	a campaign news release
8019.json	barely-true	In Rhode Island, 9 percent of workers use the states temporary disability insurance program each year while in New Jersey, the rate is only 3 percent.	disability,labor,states,workers	patricia-morgan	Financial adviser	Rhode Island	republican	1	0	1	1	0	a speech on the House floor.
10947.json	mostly-true	In just 17 years, spending for Social Security, federal health care and interest on the debt will exceed ALL tax revenue!	debt,federal-budget,taxes	dave-brat	College professor	Virginia	republican	2	5	0	2	0	a Facebook post
12014.json	mostly-true	President Obama took more money from Wall Street in the 2008 campaign than anybody ever had.	campaign-finance,economy,elections,financial-regulation,history,stimulus,voting-record	hillary-clinton	Presidential candidate	New York	democrat	40	29	69	76	7	a Democratic debate in Flint, Mich.
13241.json	half-true	Donald Trump has said nuclear proliferation is OK.	nuclear	mark-warner	U.S. Senator	Virginia	democrat	3	1	6	3	0	a TV interview.
445.json	true	"Hillary Clinton has taken over $800,000 from lobbyists."	ethics	barack-obama	President	Illinois	democrat	70	71	160	163	9	an online ad.
6588.json	false	Barack Obama has never even worked in business.	candidates-biography	rob-portman	U.S. senator from Ohio	Ohio	republican	3	5	11	11	1	a speech at the Republican National Convention in Tampa
1835.json	half-true	Says the Arizona immigration law expressly bans racial profiling.	immigration	john-cornyn	Senator	Texas	republican	5	3	6	2	1	on NBC's "Meet the Press"
3782.json	false	Says Gov. Rick Perry has been begging for the federal government to send the Coast Guard to patrol two lakes on the U.S.-Mexico border.	crime,immigration	louie-gohmert	U.S. House member	Texas	republican	2	6	1	0	1	a radio interview.
11536.json	barely-true	On the VA: Over 300,000 veterans have died waiting for care.	health-care,veterans	donald-trump	President-Elect	New York	republican	63	114	51	37	61	a speech.
